lot_id,first_issue_date,first_issue_year,outcome,lot_size_original,lot_size_source,land_width,land_depth,geolocalarea,roll_number,folioID,PID,site_id,tax_coord,lot_size_missing
006621473,2017-06-21,2017,sf_rebuild_or_upgrade,,residentialInventory,,,West End,027602108460003,A000003THE,006621473,VAS1470,60210846,TRUE
006621490,2017-06-21,2017,sf_rebuild_or_upgrade,,residentialInventory,,,West End,027602108460004,A000003THF,006621490,VAS1470,60210846,TRUE
006621538,2017-06-21,2017,sf_rebuild_or_upgrade,,residentialInventory,,,West End,027602108460005,A000003THG,006621538,VAS1470,60210846,TRUE
006621571,2017-06-21,2017,sf_rebuild_or_upgrade,,residentialInventory,,,West End,027602108460006,A000003THH,006621571,VAS1470,60210846,TRUE
006621619,2017-06-21,2017,sf_rebuild_or_upgrade,,residentialInventory,,,West End,027602108460007,A000003THJ,006621619,VAS1470,60210846,TRUE
006621635,2017-06-21,2017,sf_rebuild_or_upgrade,,residentialInventory,,,West End,027602108460009,A000003THL,006621635,VAS1470,60210846,TRUE
006621678,2017-06-21,2017,sf_rebuild_or_upgrade,,residentialInventory,,,West End,027602108460010,A000003THM,006621678,VAS1470,60210846,TRUE
006621708,2017-06-21,2017,sf_rebuild_or_upgrade,,residentialInventory,,,West End,027602108460012,A000003THP,006621708,VAS1470,60210846,TRUE
006621741,2017-06-21,2017,sf_rebuild_or_upgrade,,residentialInventory,,,West End,027602108460014,A000003THR,006621741,VAS1470,60210846,TRUE
006621767,2017-06-21,2017,sf_rebuild_or_upgrade,,residentialInventory,,,West End,027602108460016,A000003THT,006621767,VAS1470,60210846,TRUE
006621775,2017-06-21,2017,sf_rebuild_or_upgrade,,residentialInventory,,,West End,027602108460018,A000003THV,006621775,VAS1470,60210846,TRUE
006621783,2017-06-21,2017,sf_rebuild_or_upgrade,,residentialInventory,,,West End,027602108460020,A000003THX,006621783,VAS1470,60210846,TRUE
006621813,2017-06-21,2017,sf_rebuild_or_upgrade,,residentialInventory,,,West End,027602108460021,A000003THY,006621813,VAS1470,60210846,TRUE
006621821,2017-06-21,2017,sf_rebuild_or_upgrade,,residentialInventory,,,West End,027602108460023,A000003TJ0,006621821,VAS1470,60210846,TRUE
006621830,2017-06-21,2017,sf_rebuild_or_upgrade,,residentialInventory,,,West End,027602108460024,A000003TJ1,006621830,VAS1470,60210846,TRUE
006621856,2017-06-21,2017,sf_rebuild_or_upgrade,,residentialInventory,,,West End,027602108460025,A000003TJ2,006621856,VAS1470,60210846,TRUE
006621872,2017-06-21,2017,sf_rebuild_or_upgrade,,residentialInventory,,,West End,027602108460026,A000003TJ3,006621872,VAS1470,60210846,TRUE
006621881,2017-06-21,2017,sf_rebuild_or_upgrade,,residentialInventory,,,West End,027602108460029,A000003TJ6,006621881,VAS1470,60210846,TRUE
006621902,2017-06-21,2017,sf_rebuild_or_upgrade,,residentialInventory,,,West End,027602108460032,A000003TJ9,006621902,VAS1470,60210846,TRUE
006622143,2017-06-21,2017,sf_rebuild_or_upgrade,,residentialInventory,,,West End,027602108460036,A000003TJD,006622143,VAS1470,60210846,TRUE
006622186,2017-06-21,2017,sf_rebuild_or_upgrade,,residentialInventory,,,West End,027602108460037,A000003TJE,006622186,VAS1470,60210846,TRUE
006622208,2017-06-21,2017,sf_rebuild_or_upgrade,,residentialInventory,,,West End,027602108460039,A000003TJG,006622208,VAS1470,60210846,TRUE
006622216,2017-06-21,2017,sf_rebuild_or_upgrade,,residentialInventory,,,West End,027602108460040,A000003TJH,006622216,VAS1470,60210846,TRUE
006636691,2020-02-28,2020,sf_rebuild_or_upgrade,3640,residentialInventory,40,91,Kensington-Cedar Cottage,014266695460000,A000001V43,006636691,006636691,26669546,FALSE
006642772,2019-05-27,2019,sf_rebuild_or_upgrade,3316.5,residentialInventory,33,100.5,Kitsilano,002092627390000,A0000004LN,006642772,006642772,09262739,FALSE
006646239,2018-10-24,2018,sf_rebuild_or_upgrade,5355.8,residentialInventory,43.9,122,Hastings-Sunrise,020588270620000,A000002R1E,006646239,006646239,58827062,FALSE
006647961,2019-11-18,2019,sf_rebuild_or_upgrade,,residentialInventory,,,Kerrisdale,005081752990002,A000000PYN,006647961,VAS1507,08175299,TRUE
006647995,2019-11-18,2019,sf_rebuild_or_upgrade,,residentialInventory,,,Kerrisdale,005081752990003,A000000PYP,006647995,VAS1507,08175299,TRUE
006648029,2019-11-18,2019,sf_rebuild_or_upgrade,,residentialInventory,,,Kerrisdale,005081752990004,A000000PYQ,006648029,VAS1507,08175299,TRUE
006648053,2019-11-18,2019,sf_rebuild_or_upgrade,,residentialInventory,,,Kerrisdale,005081752990010,A000000PYW,006648053,VAS1507,08175299,TRUE
006655173,2017-04-21,2017,sf_rebuild_or_upgrade,,residentialInventory,,,Kensington-Cedar Cottage,015770217970002,A0000025GH,006655173,VAS1518,77021797,TRUE
006655190,2017-04-21,2017,sf_rebuild_or_upgrade,,residentialInventory,,,Kensington-Cedar Cottage,015770217970003,A0000025GJ,006655190,VAS1518,77021797,TRUE
006655211,2017-04-21,2017,sf_rebuild_or_upgrade,,residentialInventory,,,Kensington-Cedar Cottage,015770217970004,A0000025GK,006655211,VAS1518,77021797,TRUE
006655246,2017-04-21,2017,sf_rebuild_or_upgrade,,residentialInventory,,,Kensington-Cedar Cottage,015770217970005,A0000025GL,006655246,VAS1518,77021797,TRUE
006655262,2017-04-21,2017,sf_rebuild_or_upgrade,,residentialInventory,,,Kensington-Cedar Cottage,015770217970006,A0000025GM,006655262,VAS1518,77021797,TRUE
006655271,2017-04-21,2017,sf_rebuild_or_upgrade,,residentialInventory,,,Kensington-Cedar Cottage,015770217970007,A0000025GN,006655271,VAS1518,77021797,TRUE
006655297,2017-04-21,2017,sf_rebuild_or_upgrade,,residentialInventory,,,Kensington-Cedar Cottage,015770217970008,A0000025GP,006655297,VAS1518,77021797,TRUE
006655301,2017-04-21,2017,sf_rebuild_or_upgrade,,residentialInventory,,,Kensington-Cedar Cottage,015770217970009,A0000025GQ,006655301,VAS1518,77021797,TRUE
006655319,2017-04-21,2017,sf_rebuild_or_upgrade,,residentialInventory,,,Kensington-Cedar Cottage,015770217970010,A0000025GR,006655319,VAS1518,77021797,TRUE
006655327,2017-04-21,2017,sf_rebuild_or_upgrade,,residentialInventory,,,Kensington-Cedar Cottage,015770217970011,A0000025GS,006655327,VAS1518,77021797,TRUE
006655343,2017-04-21,2017,sf_rebuild_or_upgrade,,residentialInventory,,,Kensington-Cedar Cottage,015770217970012,A0000025GT,006655343,VAS1518,77021797,TRUE
006655378,2017-04-21,2017,sf_rebuild_or_upgrade,,residentialInventory,,,Kensington-Cedar Cottage,015770217970013,A0000025GU,006655378,VAS1518,77021797,TRUE
006655386,2017-04-21,2017,sf_rebuild_or_upgrade,,residentialInventory,,,Kensington-Cedar Cottage,015770217970014,A0000025GV,006655386,VAS1518,77021797,TRUE
006655424,2017-04-21,2017,sf_rebuild_or_upgrade,,residentialInventory,,,Kensington-Cedar Cottage,015770217970015,A0000025GW,006655424,VAS1518,77021797,TRUE
006655459,2017-04-21,2017,sf_rebuild_or_upgrade,,residentialInventory,,,Kensington-Cedar Cottage,015770217970016,A0000025GX,006655459,VAS1518,77021797,TRUE
006655475,2017-04-21,2017,sf_rebuild_or_upgrade,,residentialInventory,,,Kensington-Cedar Cottage,015770217970017,A0000025GY,006655475,VAS1518,77021797,TRUE
006655491,2017-04-21,2017,sf_rebuild_or_upgrade,,residentialInventory,,,Kensington-Cedar Cottage,015770217970018,A0000025GZ,006655491,VAS1518,77021797,TRUE
006655530,2017-04-21,2017,sf_rebuild_or_upgrade,,residentialInventory,,,Kensington-Cedar Cottage,015770217970019,A0000025H0,006655530,VAS1518,77021797,TRUE
006655572,2017-04-21,2017,sf_rebuild_or_upgrade,,residentialInventory,,,Kensington-Cedar Cottage,015770217970020,A0000025H1,006655572,VAS1518,77021797,TRUE
006655599,2017-04-21,2017,sf_rebuild_or_upgrade,,residentialInventory,,,Kensington-Cedar Cottage,015770217970021,A0000025H2,006655599,VAS1518,77021797,TRUE
006655637,2017-04-21,2017,sf_rebuild_or_upgrade,,residentialInventory,,,Kensington-Cedar Cottage,015770217970022,A0000025H3,006655637,VAS1518,77021797,TRUE
006655661,2017-04-21,2017,sf_rebuild_or_upgrade,,residentialInventory,,,Kensington-Cedar Cottage,015770217970023,A0000025H4,006655661,VAS1518,77021797,TRUE
006681123,2022-03-15,2022,sf_rebuild_or_upgrade,,residentialInventory,,,Fairview,007648146040010,A00000105V,006681123,VAS1550,64814604,TRUE
006688101,2018-11-01,2018,sf_rebuild_or_upgrade,5500,residentialInventory,50,110,West Point Grey,001639028680000,A0000000SE,006688101,006688101,63902868,FALSE
006698263,2017-08-10,2017,sf_rebuild_or_upgrade,3296.7,residentialInventory,33,99.9,Kensington-Cedar Cottage,016216730570000,A0000027VQ,006698263,006698263,21673057,FALSE
006708366,2022-02-11,2022,sf_rebuild_or_upgrade,6273,residentialInventory,45,139.4,Victoria-Fraserview,025270826510000,A000003DRB,006708366,006708366,27082651,FALSE
006709486,2018-05-22,2018,sf_rebuild_or_upgrade,5220,residentialInventory,43.5,120,Marpole,012165824130000,A000001H8X,006709486,006709486,16582413,FALSE
006710808,2021-08-24,2021,sf_rebuild_or_upgrade,5280,residentialInventory,44,120,Victoria-Fraserview,025813256960000,A000003FR3,006710808,006710808,81325696,FALSE
006713238,2018-04-23,2018,sf_rebuild_or_upgrade,5215.6,residentialInventory,44.2,118,Kensington-Cedar Cottage,019242723160000,A000002LJY,006713238,006713238,24272316,FALSE
006729185,2025-06-30,2025,multiplex,5080,residentialInventory,40,127,Hastings-Sunrise,021616289730000,A000002UEN,006729185,006729185,61628973,FALSE
006733930,2018-10-30,2018,sf_rebuild_or_upgrade,3960,residentialInventory,33,120,Hastings-Sunrise,020298592050000,A000002P8Z,006733930,006733930,29859205,FALSE
006738311,2024-11-07,2024,sf_rebuild_or_upgrade,4019.4,residentialInventory,33,121.8,Marpole,012135817500000,A000001FMH,006738311,006738311,13581750,FALSE
006789153,2021-05-12,2021,sf_rebuild_or_upgrade,4009.5,residentialInventory,33,121.5,Renfrew-Collingwood,022280685700000,A000002X3S,006789153,006789153,28068570,FALSE
006789226,2022-09-22,2022,sf_rebuild_or_upgrade,4306.15,residentialInventory,35.5,121.3,Renfrew-Collingwood,022688280950000,A000002Y4B,006789226,006789226,68828095,FALSE
006792561,2025-05-30,2025,duplex,3557.4,residentialInventory,33,107.8,Hastings-Sunrise,020282602220000,A000002P34,006792561,006792561,28260222,FALSE
006802435,2021-07-20,2021,sf_rebuild_or_upgrade,4989.6,residentialInventory,63,79.2,Riley Park,009182691610000,A00000180U,006802435,006802435,18269161,FALSE
006806783,2022-01-27,2022,duplex,4605,residentialInventory,37.5,122.8,Renfrew-Collingwood,022300694950000,A000002XA9,006806783,EPS9034,30069495,FALSE
006818137,2020-04-24,2020,duplex,6275.14,residentialInventory,42.2,148.7,Killarney,024317770950000,A000003ACE,006818137,EPS8035,31777095,FALSE
006851118,2024-09-11,2024,sf_rebuild_or_upgrade,15849.6,residentialInventory,78,203.2,Kerrisdale,006056758410000,A000000TDX,006851118,006851118,05675841,FALSE
006853633,2024-04-17,2024,sf_rebuild_or_upgrade,3366,residentialInventory,33,102,Renfrew-Collingwood,022275694410000,A000002WWK,006853633,006853633,27569441,FALSE
006865551,2019-08-22,2019,duplex,4306.5,residentialInventory,33,130.5,Grandview-Woodland,014267641060000,A000001V6F,006865551,EPS7301,26764106,FALSE
006867171,2018-07-30,2018,sf_rebuild_or_upgrade,6138,residentialInventory,55.8,110,Renfrew-Collingwood,022700273950000,A000002Z56,006867171,006867171,70027395,FALSE
006868100,2021-03-30,2021,duplex,3635.6,residentialInventory,29.8,122,Renfrew-Collingwood,022684277020000,A000002XS5,006868100,EPS8571,68427702,FALSE
006872891,2021-05-11,2021,sf_rebuild_or_upgrade,4026,residentialInventory,33,122,Renfrew-Collingwood,022280685130000,A000002X3G,006872891,006872891,28068513,FALSE
006873731,2019-12-20,2019,sf_rebuild_or_upgrade,5246,residentialInventory,43,122,Renfrew-Collingwood,022280688930000,A000002X4B,006873731,006873731,28068893,FALSE
006873863,2022-03-03,2022,duplex,4019.4,residentialInventory,33,121.8,Renfrew-Collingwood,022280693650000,A000002X4M,006873863,EPS9030,28069365,FALSE
006875963,2025-11-27,2025,sf_rebuild_or_upgrade,5383.56,residentialInventory,44.2,121.8,Sunset,017228799150000,A000002BX0,006875963,006875963,22879915,FALSE
006883788,2022-10-04,2022,duplex,3640,residentialInventory,32.5,112,Renfrew-Collingwood,022300702240000,A000002XBD,006883788,EPS9950,30070224,FALSE
006907601,2019-05-28,2019,sf_rebuild_or_upgrade,3366,residentialInventory,33,102,Renfrew-Collingwood,022275692330000,A000002WW0,006907601,006907601,27569233,FALSE
006908462,2019-08-30,2019,sf_rebuild_or_upgrade,4800,residentialInventory,40,120,Renfrew-Collingwood,022273670130000,A000002WU7,006908462,006908462,27367013,FALSE
006908471,2025-10-22,2025,duplex,4800,residentialInventory,40,120,Renfrew-Collingwood,022273670230000,A000002WU8,006908471,006908471,27367023,FALSE
006908489,2020-02-21,2020,sf_rebuild_or_upgrade,4800,residentialInventory,40,120,Renfrew-Collingwood,022273670330000,A000002WU9,006908489,006908489,27367033,FALSE
006908535,2022-07-26,2022,duplex,4800,residentialInventory,40,120,Renfrew-Collingwood,022273670590000,A000002WUD,006908535,006908535,27367059,FALSE
006912206,2024-07-02,2024,sf_rebuild_or_upgrade,4800,residentialInventory,40,120,Renfrew-Collingwood,022273688930000,A000002WUP,006912206,006912206,27368893,FALSE
006912273,2025-10-15,2025,duplex,4800,residentialInventory,40,120,Renfrew-Collingwood,022273688030000,A000002WUK,006912273,006912273,27368803,FALSE
006914039,2021-06-07,2021,sf_rebuild_or_upgrade,9146.67,residentialInventory,61.1,149.7,Renfrew-Collingwood,022271670130000,A000002WTN,006914039,006914039,27167013,FALSE
006918573,2019-12-16,2019,sf_rebuild_or_upgrade,9119.5,residentialInventory,65,140.3,Shaughnessy,008717135160000,A0000016HG,006918573,006918573,71713516,FALSE
006925201,2018-01-11,2018,sf_rebuild_or_upgrade,3822,residentialInventory,39,98,Kensington-Cedar Cottage,016213735040000,A0000027NR,006925201,006925201,21373504,FALSE
006933939,2018-08-24,2018,sf_rebuild_or_upgrade,4108.5,residentialInventory,33,124.5,Kensington-Cedar Cottage,019237739430000,A000002L77,006933939,006933939,23773943,FALSE
006963838,2024-10-11,2024,sf_rebuild_or_upgrade,4022.7,residentialInventory,33,121.9,Hastings-Sunrise,020570274110000,A000002PXA,006963838,006963838,57027411,FALSE
006971164,2018-10-31,2018,sf_rebuild_or_upgrade,3300,residentialInventory,25,132,Strathcona,013600198470000,A000001MQH,006971164,006971164,60019847,FALSE
006980279,2018-09-18,2018,sf_rebuild_or_upgrade,8058,residentialInventory,60,134.3,Oakridge,010145750970000,A000001BS6,006980279,006980279,14575097,FALSE
006989250,2025-10-22,2025,sf_rebuild_or_upgrade,12804,residentialInventory,66,194,Dunbar-Southlands,005050747160000,A000000PBV,006989250,006989250,05074716,FALSE
007020821,2018-08-01,2018,sf_rebuild_or_upgrade,4745,residentialInventory,36.5,130,Arbutus Ridge,004071715740000,A000000L4S,007020821,007020821,07171574,FALSE
007041390,2023-11-17,2023,sf_rebuild_or_upgrade,5879,residentialInventory,50,117.58,Kensington-Cedar Cottage,023770266210000,A00000382R,007041390,007041390,77026621,FALSE
007045476,2018-05-03,2018,sf_rebuild_or_upgrade,4026,residentialInventory,33,122,Hastings-Sunrise,020577305740000,A000002QGD,007045476,007045476,57730574,FALSE
007045531,2021-04-12,2021,sf_rebuild_or_upgrade,4108.5,residentialInventory,33,124.5,Grandview-Woodland,014616253560000,A000001YSJ,007045531,EPS8207,61625356,FALSE
007076835,2020-09-04,2020,sf_rebuild_or_upgrade,5980,residentialInventory,50,119.6,Shaughnessy,005734091960000,A000000QU6,007076835,007076835,73409196,FALSE
007082193,2024-06-25,2024,sf_rebuild_or_upgrade,3679.5,residentialInventory,33,111.5,Kensington-Cedar Cottage,019227719870000,A000002K27,007082193,007082193,22771987,FALSE
007089171,2025-06-03,2025,sf_rebuild_or_upgrade,6358,residentialInventory,57.8,110,Renfrew-Collingwood,022688314650000,A000002Y70,007089171,007089171,68831465,FALSE
007089643,2017-02-21,2017,sf_rebuild_or_upgrade,,residentialInventory,,,Downtown,00925000,A0000D5XM3,007089643,015642623,19060127,TRUE
007091109,2018-01-09,2018,sf_rebuild_or_upgrade,5500,residentialInventory,44,125,Arbutus Ridge,004090701250000,A000000LGK,007091109,007091109,09070125,FALSE
007095619,2023-08-30,2023,sf_rebuild_or_upgrade,3931.62,residentialInventory,32.2,122.1,Hastings-Sunrise,020588277140000,A000002R3L,007095619,007095619,58827714,FALSE
007116071,2017-05-29,2017,sf_rebuild_or_upgrade,4016.1,residentialInventory,33,121.7,Marpole,012142823210000,A000001FXB,007116071,007116071,14282321,FALSE
007125003,2024-11-13,2024,sf_rebuild_or_upgrade,7542,residentialInventory,45,167.6,Victoria-Fraserview,025828251950000,A000003GRJ,007125003,007125003,82825195,FALSE
007138369,2017-12-11,2017,sf_rebuild_or_upgrade,5254,residentialInventory,56.8,92.5,Victoria-Fraserview,025246830650000,A000003D4P,007138369,007138369,24683065,FALSE
007141629,2019-03-12,2019,sf_rebuild_or_upgrade,7920,residentialInventory,66,120,Kerrisdale,005757056950000,A000000SJ2,007141629,007141629,75705695,FALSE
007142633,2020-03-25,2020,duplex,4026,residentialInventory,33,122,Kensington-Cedar Cottage,015231698110000,A0000022PK,007142633,EPS8181,23169811,FALSE
007145322,2023-09-25,2023,sf_rebuild_or_upgrade,4550,residentialInventory,35,130,Dunbar-Southlands,004050725200000,A000000KZB,007145322,007145322,05072520,FALSE
007147872,2018-03-07,2018,sf_rebuild_or_upgrade,3630,residentialInventory,33,110,Hastings-Sunrise,020594289700000,A000002RSW,007147872,007147872,59428970,FALSE
